RES_NOM                                           RES_ADRECA                                        RES_MITJANA    RES_LATITUD    RES_LONGITUD   RES_WEB        RES_TELEFON    RES_TRS_CODI   RES_URL_IMG    
Xinos restaurante,                                Camí de la Vileta, 39                                                                                         971 28 83 60                 4
Restaurante Pura Louzao                           Avenida Argentina, 59                                                                                         971 28 83 60                 4
Adrian Quetglas Restaurant                        Passeig de Mallorca, 20                                                                                       971 78 11 19                 4
Block House                                       Passeig de Mallorca, 16                                                                                       971 43 41 70                 4
OTTIMO                                            Passeig de Mallorca, 18                                                                                       871 71 34 09                 4
Restaurante Café Zanzibar                         Plaça de la Navegació, 17                                                                                     971 91 89 19                 4
Monolisto                                         Plaça de la Navegació, 18                                                                                     971 91 66 99                 4
Restaurante Hanaita                               Plaça de la Navegació, 8                                                                                      971 45 20 13                 1
Deliciosa Marta                                   Carrer de Teodor Llorente, 4                                                                                  871 95 93 35                 4
Restaurant Diwali                                 Carrer Marquès Sénia, 14                                                                                      695 50 57 40                 5
Toloache                                          Monsenyor Palmer 6 Local 8                                                                                    871 51 66 41                 3
Simply Delicious                                  Plaça de la Navegació, 5                                                                                      600 67 37 22                 4
Restaurante Baisakhi                              Av de Gabriel Roca, 8                                                                                         971 73 68 06                 5
Restaurante Rossini                               Carrer del Pi, 6                                                                                              971 72 02 35                 2
Restaurante Maritimo                              Passeig Marítim, 1                                                                                            971 73 81 92                 4
Bri restaurant                                    Carrer Reina Maria Cristina, 9                                                                                971 59 59 04                 4
Restaurante Casa Maruka                           Carrer de la Reina Maria Cristina, 7                                                                          971 20 02 72                 4
Canela                                            Carrer Sant Jaume, 13                                                                                         971 71 03 14                 4
Daikichi                                          Carrer Cecili Metelo, 3                                                                                       871 71 27 81                 1
Calixto                                           Plaça Banc de l'Oli, 14                                                                                       652 55 68 80                 4
